country_id,indicator_id,year,value
196,12,2000,3.21485448
196,13,2000,2.31351972
197,12,2000,1.90859938
197,13,2000,1.11098742
198,12,2000,2.9591713
198,13,2000,1.14174652
199,12,2000,6.10838556
199,13,2000,3.2540555
200,12,2000,2.9502635
200,13,2000,0.96129316
201,12,2000,4.22181606
201,13,2000,1.46507239
202,12,2000,4.43401194
202,13,2000,3.16139579
203,12,2000,4.29573393
203,13,2000,0.64510846
204,12,2000,4.3808217
204,13,2000,1.72009432
205,12,2000,4.00526953
205,13,2000,1.52323806
206,12,2000,7.52074909
206,13,2000,0.89238626
207,12,2000,1.50500846
207,13,2000,0.51469523
208,12,2000,4.00220871
208,13,2000,0.58689862
209,12,2000,1.46594739
209,13,2000,0.06221032
210,12,2000,1.10719955
210,13,2000,0.31905925
211,12,2000,5.76670074
211,13,2000,2.05245161
212,12,2000,4.60951757
212,13,2000,2.41081047
213,12,2000,4.36504698
213,13,2000,1.79949343
214,12,2000,2.90124774
214,13,2000,1.06383789
215,12,2000,10.78532791
215,13,2000,0.6015296
216,12,2000,1.7894485
216,13,2000,0.78690648
217,12,2000,4.740973
217,13,2000,0.30125162
218,12,2000,4.18953228
218,13,2000,0.5933851
219,12,2000,3.62446713
219,13,2000,0.99912077
220,12,2000,5.15633392
220,13,2000,2.90852237
221,12,2000,2.87913179
221,13,2000,0.64587975
222,12,2000,3.99177623
222,13,2000,1.84771943
223,12,2000,2.35247517
223,13,2000,1.01542294
224,12,2000,5.46631575
224,13,2000,1.29322565
225,12,2000,3.37824655
225,13,2000,0.46969447
226,12,2000,2.85734653
226,13,2000,1.52947044
227,12,2000,2.14253044
227,13,2000,1.08604574
228,12,2000,9.23999977
228,13,2000,4.8139286
229,12,2000,4.69005966
229,13,2000,1.12999868
230,12,2000,3.1973834
230,13,2000,0.58559412
231,12,2000,3.57583427
231,13,2000,0.64626944
232,12,2000,9.31892776
232,13,2000,3.49420285
233,12,2000,3.55015373
233,13,2000,1.25274444
234,12,2000,4.61071777
234,13,2000,3.78593802
235,12,2000,8.48961735
235,13,2000,0.89177084
236,12,2000,7.3366189
236,13,2000,2.68480206
237,12,2000,
237,13,2000,
238,12,2000,2.7167244
238,13,2000,0.29096901
239,12,2000,5.0827446
239,13,2000,1.26865971
240,12,2000,3.41529942
240,13,2000,0.74586421
241,12,2000,4.17365646
241,13,2000,1.47394264
242,12,2000,
242,13,2000,
243,12,2000,4.71542597
243,13,2000,2.72769094
244,12,2000,8.22001076
244,13,2000,4.49895144
245,12,2000,3.80487037
245,13,2000,1.50591624
246,12,2000,5.33187246
246,13,2000,2.76476121
247,12,2000,3.09182477
247,13,2000,1.42340589
248,12,2000,4.39554119
248,13,2000,2.43201661
249,12,2000,8.33457184
249,13,2000,3.47014546
250,12,2000,8.24814415
250,13,2000,6.00890827
251,12,2000,7.00020742
251,13,2000,2.50570464
252,12,2000,5.63529348
252,13,2000,4.20017815
253,12,2000,6.56498718
253,13,2000,4.262187
254,12,2000,6.58189821
254,13,2000,5.50884342
255,12,2000,5.32374382
255,13,2000,3.36023808
256,12,2000,4.88427496
256,13,2000,1.71051323
257,12,2000,3.4825685
257,13,2000,1.00422108
258,12,2000,7.84342813
258,13,2000,3.94314837
259,12,2000,5.35886383
259,13,2000,1.86039817
260,12,2000,5.39686108
260,13,2000,1.91270578
261,12,2000,3.18737936
261,13,2000,1.78830874
262,12,2000,3.99165702
262,13,2000,0.87098479
263,12,2000,6.26817989
263,13,2000,3.02285886
264,12,2000,5.64462519
264,13,2000,3.18738079
265,12,2000,4.24436522
265,13,2000,1.91919184
266,12,2000,5.23883677
266,13,2000,2.56718063
267,12,2000,6.98486614
267,13,2000,4.50806475
268,12,2000,6.01865244
268,13,2000,2.32489133
269,12,2000,4.41482639
269,13,2000,2.34087849
270,12,2000,4.79933786
270,13,2000,2.01197886
271,12,2000,4.86549902
271,13,2000,1.67430913
272,12,2000,3.97939277
272,13,2000,2.78107834
273,12,2000,5.87092161
273,13,2000,2.84068179
274,12,2000,4.23492479
274,13,2000,1.56699646
275,12,2000,12.49002552
275,13,2000,5.5427599
276,12,2000,9.17182446
276,13,2000,3.81055403
277,12,2000,
277,13,2000,
278,12,2000,
278,13,2000,
279,12,2000,3.33542562
279,13,2000,2.3711853
280,12,2000,3.39641857
280,13,2000,1.4098289
281,12,2000,4.92244291
281,13,2000,1.73206902
282,12,2000,4.72250843
282,13,2000,1.78084624
283,12,2000,
283,13,2000,
284,12,2000,9.34367943
284,13,2000,4.20303917
285,12,2000,2.20362997
285,13,2000,1.59861708
286,12,2000,10.82951355
286,13,2000,3.22929931
287,12,2000,3.31908512
287,13,2000,1.61668956
288,12,2000,3.69304585
288,13,2000,0.93646741
289,12,2000,9.46541214
289,13,2000,2.72239161
290,12,2000,2.68485427
