country_id,indicator_id,year,value
196,7,2000,61.85785294
196,8,2000,44.51503652
196,11,2000,17.3105358
196,9,2000,15.95593289
196,10,2000,0.03228176
196,6,2000,1924.126122
197,7,2000,13.15998554
197,8,2000,7.66037142
197,11,2000,5.43201741
197,9,2000,3.59329317
197,10,2000,0.06759678
197,6,2000,689.5101523
198,7,2000,14.42371464
198,8,2000,5.56514798
198,11,2000,8.5235161
198,9,2000,7.92009685
198,10,2000,0.33505173
198,6,2000,487.4241414
199,7,2000,206.9314423
199,8,2000,110.2363887
199,11,2000,63.4939399
199,9,2000,22.08353893
199,10,2000,33.20111285
199,6,2000,3387.661609
200,7,2000,7.34345675
200,8,2000,2.39274067
200,11,2000,3.38675799
200,9,2000,3.09600757
200,10,2000,1.56395847
200,6,2000,248.9085238
201,7,2000,5.67927122
201,8,2000,1.9708445
201,11,2000,3.64948065
201,9,2000,3.47223709
201,10,2000,0.05894569
201,6,2000,134.5219819
202,7,2000,59.54011154
202,8,2000,42.45136274
202,11,2000,15.55705654
202,9,2000,15.03934922
202,10,2000,1.53169182
202,6,2000,1342.804477
203,7,2000,30.438097
203,8,2000,4.57101766
203,11,2000,25.09028067
203,9,2000,23.88599173
203,10,2000,0.7768
203,6,2000,708.5657406
204,7,2000,9.9123354
204,8,2000,3.89199885
204,11,2000,4.89452976
204,9,2000,4.78549085
204,10,2000,1.12580742
204,6,2000,226.2665936
205,7,2000,10.07452297
205,8,2000,3.83142711
205,11,2000,5.88053631
205,9,2000,5.66352056
205,10,2000,0.36256035
205,6,2000,251.5317397
206,7,2000,47.59433365
206,8,2000,5.64738022
206,11,2000,39.14530083
206,9,2000,37.94173776
206,10,2000,2.80165063
206,6,2000,632.8403473
207,7,2000,17.35089302
207,8,2000,5.93380231
207,11,2000,9.4180832
207,9,2000,9.14387295
207,10,2000,1.99900746
207,6,2000,1152.876837
208,7,2000,33.58165741
208,8,2000,4.92453742
208,11,2000,28.05489384
208,9,2000,26.08864621
208,10,2000,0.60222406
208,6,2000,839.0780399
209,7,2000,17.52071953
209,8,2000,0.74352572
209,11,2000,12.69544585
209,9,2000,9.46566674
209,10,2000,4.08174859
209,6,2000,1195.180681
210,7,2000,18.24036026
210,8,2000,5.256284
210,11,2000,11.8566503
210,9,2000,10.50779439
210,10,2000,1.12742472
210,6,2000,1647.431926
211,7,2000,14.03034782
211,8,2000,4.99360232
211,11,2000,8.94687083
211,9,2000,8.94687083
211,10,2000,0.08987504
211,6,2000,243.2994021
212,7,2000,76.93126678
212,8,2000,40.23559627
212,11,2000,33.51407922
212,9,2000,14.25165479
212,10,2000,3.18158762
212,6,2000,1668.965631
213,7,2000,5.28970861
213,8,2000,2.18068572
213,11,2000,2.2490121
213,9,2000,1.90203629
213,10,2000,0.86001055
213,6,2000,121.1833114
214,7,2000,123.0503693
214,8,2000,45.12046386
214,11,2000,75.31119942
214,9,2000,65.46962306
214,10,2000,2.61870398
214,6,2000,4241.29119
215,7,2000,74.83678436
215,8,2000,4.17386853
215,11,2000,11.98674034
215,9,2000,10.23771209
215,10,2000,58.67617521
215,6,2000,693.8758482
216,7,2000,10.4517746
216,8,2000,4.59614791
216,11,2000,5.59176234
216,9,2000,3.97631245
216,10,2000,0.2638649
216,6,2000,584.078014
217,7,2000,22.71722412
217,8,2000,1.44350133
217,11,2000,14.93254637
217,9,2000,14.85108105
217,10,2000,6.34117776
217,6,2000,479.1679852
218,7,2000,13.2785511
218,8,2000,1.88070972
218,11,2000,9.00899392
218,9,2000,8.06083695
218,10,2000,2.3888475
218,6,2000,316.9458912
219,7,2000,21.53400993
219,8,2000,5.93606644
219,11,2000,12.60673819
219,9,2000,10.19234879
219,10,2000,2.99120703
219,6,2000,594.1290296
220,7,2000,23.71122551
220,8,2000,13.37474018
220,11,2000,9.41984389
220,9,2000,9.41984389
220,10,2000,0.91664173
220,6,2000,459.8465776
221,7,2000,8.48562813
221,8,2000,1.90359303
221,11,2000,6.5820348
221,9,2000,6.0736962
221,10,2000,0.0
221,6,2000,294.7287104
222,7,2000,11.1882658
222,8,2000,5.17884138
222,11,2000,5.81952718
222,9,2000,4.8462596
222,10,2000,0.1898975
222,6,2000,280.2828901
223,7,2000,8.84964848
223,8,2000,3.81986418
223,11,2000,1.76512144
223,9,2000,1.48346493
223,10,2000,3.26466239
223,6,2000,376.1845521
224,7,2000,14.00467396
224,8,2000,3.31323774
224,11,2000,9.87933148
224,9,2000,9.63761458
224,10,2000,0.81210515
224,6,2000,256.1995149
225,7,2000,23.00290108
225,8,2000,3.19820808
225,11,2000,18.80376015
225,9,2000,17.90109292
225,10,2000,1.00093239
225,6,2000,680.912434
226,7,2000,115.8982086
226,8,2000,62.03759119
226,11,2000,53.51020031
226,9,2000,50.99529453
226,10,2000,0.35042024
226,6,2000,4056.148519
227,7,2000,7.00877714
227,8,2000,3.55273952
227,11,2000,2.79198423
227,9,2000,2.72509502
227,10,2000,0.66405353
227,6,2000,327.1261531
228,7,2000,200.1069183
228,8,2000,104.253304
228,11,2000,85.14273884
228,9,2000,14.21460986
228,10,2000,10.71088571
228,6,2000,2165.659443
229,7,2000,9.10514259
229,8,2000,2.19374588
229,11,2000,6.0690098
229,9,2000,5.508444
229,10,2000,0.84238689
229,6,2000,194.1370378
230,7,2000,17.15887642
230,8,2000,3.14261231
230,11,2000,11.10481588
230,9,2000,10.32313394
230,10,2000,2.91144692
230,6,2000,536.6536522
231,7,2000,9.00399399
231,8,2000,1.6273144
231,11,2000,3.19870995
231,9,2000,2.39392176
231,10,2000,4.17797004
231,6,2000,251.8012191
232,7,2000,49.63587952
232,8,2000,18.61134944
232,11,2000,22.80293954
232,9,2000,21.76088973
232,10,2000,8.22159214
232,6,2000,532.6350747
233,7,2000,21.41570663
233,8,2000,7.55697021
233,11,2000,13.00643376
233,9,2000,11.92187254
233,10,2000,0.85230124
233,6,2000,603.2331685
234,7,2000,340.23703
234,8,2000,279.3743325
234,11,2000,60.86268102
234,9,2000,60.86268397
234,10,2000,0.0
234,6,2000,7379.263383
235,7,2000,17.80823517
235,8,2000,1.87062185
235,11,2000,15.26133497
235,9,2000,15.14642322
235,10,2000,0.67627725
235,6,2000,209.7648641
236,7,2000,236.0811462
236,8,2000,86.39281809
236,11,2000,148.1657013
236,9,2000,34.140916
236,10,2000,1.5226259
236,6,2000,3217.846713
237,7,2000,
237,8,2000,
237,11,2000,
237,9,2000,
237,10,2000,
237,6,2000,
